id;room_id;name;log_price;log_sqm;num_rooms;num_bathrooms;price_per_sqm;sqm_per_room;rooms_per_sqm;baths_per_room;discount_pct;price_relative_to_type;price_relative_to_province;has_stars;pool_flag;beach_flag;breakfast;cancellation;property_type_Agroturismo;property_type_Albergue;property_type_Apartahotel;property_type_Apartamento;property_type_Barco;property_type_Bed and breakfast;property_type_Camping;property_type_Camping resort;property_type_Casa o chalet;property_type_Casa rural;property_type_Chalet de montaña;property_type_Habitación en casa particular;property_type_Hostal o pensión;property_type_Hotel;property_type_Lodge;property_type_Resort;property_type_Villa;region_Andalucía;region_Aragón;region_Canary Islands;region_Cantabria;region_Castilla y León;region_Castilla-La Mancha;region_Cataluña;region_Comunidad Foral de Navarra;region_Comunidad Valenciana;region_Comunidad de Madrid;region_Extremadura;region_Galicia;region_Islas Baleares;region_La Rioja;region_Melilla;region_País Vasco;region_Principado de Asturias;region_Región de Murcia
10001512;1000151201;Marbella Golf 103 By Pride Holiday Rentals;-0.23427234893815224;0.41797512586888996;0.5;0.0;-0.36978266947821226;-0.2631578947368421;0.30857142857142855;-0.16666666666666663;0.0;-0.34760097665633055;0.17213108986227818;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10001692;1000169202;Costacabana - Villa Maribel;1.9412311308191121;1.9719200590637969;2.5;3.0;0.671786981598758;-0.13157894736842105;0.24000000000000005;0.0;0.0;0.6573377216004195;5.740578100977095;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10002125;1000212502;Meson de los Caballeros;1.7776202043799108;2.8992129376518836;2.0;5.0;-0.2555702826879184;2.6315789473684212;-0.32;0.5333333333333333;1.2925161298003909;4.081047812164556;15.869590144629694;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10002915;1000291505;Cosy Loft's Valencia;0.2352281602519693;0.257534862166196;0.0;0.0;0.09485243587035415;1.1578947368421053;-0.13935483870967746;0.33333333333333337;1.9319583939195997;0.3304623909753913;-0.1024086602414165;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10003115;1000311501;Sweet House Las Canteras;-0.6054827728297986;-0.318976573240775;0.0;0.0;-0.2565838225653129;0.0;0.18000000000000005;0.33333333333333337;1.2649432159404452;-0.4376765604274956;-0.38269044553630993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10003120;1000312001;Piso recien reformado y con buena ubicación;0.9737726231592775;-0.026060804629724436;0.5;0.0;1.7723643943319418;-0.7894736842105263;0.7200000000000001;-0.16666666666666663;2.1838471143366083;1.8248559658848296;-0.02461410471499606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
10003981;1000398101;Rockside Residentes Suites La Línea;0.3062982939576045;0.41797512586888996;0.5;0.0;0.045398513521968574;-0.2631578947368421;0.30857142857142855;-0.16666666666666663;0.0;0.4305863660270963;0.13504941627952513;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10005690;1000569001;Encantador piso al Sur del Sur;-0.1625872966892661;0.41797512586888996;0.5;0.0;-0.3269213393087429;-0.2631578947368421;0.30857142857142855;-0.16666666666666663;0.0;-0.11415274683362715;-0.5197944852799894;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10006089;1000608901;Alojamiento Esencia I;-0.6153940905556188;0.2142379052136632;0.5;0.0;-0.4878241553884846;-0.5263157894736842;0.48;-0.16666666666666663;0.0;-0.4433811634058906;-0.11678788477730152;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10006949;1000694901;Apartamento El Llano;1.362527148948522;0.3199688758869288;0.5;0.0;2.15637585551418;-0.39473684210526316;0.3876923076923078;-0.16666666666666663;0.0;3.1959026732029066;0.7345402822664064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
