id;room_id;name;if_score;if_anomaly;lof_score;lof_anomaly;extraction_date;lookahead_period;checkin_date;checkout_date;room_id_raw;name_raw;price;sqm;property_type;region;province;num_rooms;num_bathrooms;log_price;log_sqm;price_per_sqm;discount_pct;pool_flag;beach_flag;breakfast;price_relative_to_type;price_relative_to_province;extreme_price_high;extreme_price_low;suspected_placeholder_sqm;extreme_price_per_sqm;overcrowded_layout;excess_bathrooms;tiny_villa;huge_apartment;any_flag;log_price.1;log_sqm.1;num_rooms.1;num_bathrooms.1;price_per_sqm.1;sqm_per_room;rooms_per_sqm;baths_per_room;discount_pct.1;price_relative_to_type.1;price_relative_to_province.1;has_stars;pool_flag.1;beach_flag.1;breakfast.1;cancellation;property_type_Agroturismo;property_type_Albergue;property_type_Apartahotel;property_type_Apartamento;property_type_Barco;property_type_Bed and breakfast;property_type_Camping;property_type_Camping resort;property_type_Casa o chalet;property_type_Casa rural;property_type_Chalet de montaña;property_type_Habitación en casa particular;property_type_Hostal o pensión;property_type_Hotel;property_type_Lodge;property_type_Love hotel;property_type_Posada u hostería;property_type_Resort;property_type_Riad;property_type_Villa;region_Andalucía;region_Aragón;region_Canary Islands;region_Cantabria;region_Castilla y León;region_Castilla-La Mancha;region_Cataluña;region_Ceuta;region_Comunidad Foral de Navarra;region_Comunidad Valenciana;region_Comunidad de Madrid;region_Extremadura;region_Galicia;region_Islas Baleares;region_La Rioja;region_Melilla;region_País Vasco;region_Principado de Asturias;region_Región de Murcia;is_if_anomaly;is_lof_anomaly;if_rank;lof_rank;consensus_anomaly;agreement_group;if_percentile;lof_percentile;combined_rank
10029513;1002951302;Villa MARGARITA;0.0860808433013001;-1;1.4704561467168564;-1;2026-09-13;3m;2026-12-19;2026-12-26;1002951302;Villa MARGARITA;42030.8;200.0;Villa;Islas Baleares;Menorca;5.0;4.0;10.646181753634597;5.303304908059076;210.154;0.0;1;0;0;16.612964426877472;33.36108740946523;True;False;False;True;False;False;False;False;True;4.99013377213165;1.4186020033751607;1.5;3.0;18.53587059599364;0.0;0.1729745712596098;0.1;0.0;22.43190089641973;44.92007610837296;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;True;True;163.0;3564.0;True;Both;99.82480236192372;96.1467334292234;97.98576789557356
10048964;1004896402;Villa SANS BOSCH;0.020592747408163;-1;1.4412513886278486;-1;2026-09-13;3m;2026-12-19;2026-12-26;1004896402;Villa SANS BOSCH;7720.8001;75.0;Villa;Islas Baleares;Menorca;3.0;2.0;8.951802789413218;4.330733340286331;102.94400133333332;0.0647601146932944;1;0;0;3.051699644268775;6.128227086020439;True;False;False;True;False;False;False;False;True;2.745693578837733;0.092771917278962;0.5;1.0;8.394892426543796;-0.7894736842105263;1.199290360733294;-0.1666666666666667;0.6997476997932891;2.947776080897744;7.118436660990575;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;True;True;2052.0;4124.0;True;Both;97.78191138460207;95.54111196426834;96.6615116744352
10081410;1008141002;Charming Villa Domingo Playa Portaventura Golf;0.0825536401620617;-1;1.46753751035398;-1;2026-09-13;3m;2026-12-19;2026-12-26;1008141002;Charming Villa Domingo Playa Portaventura Golf;8137.12;550.0;Casa o chalet;Cataluña;Tarragona;0.0;6.0;9.004314474090668;6.311734809152915;14.794763636363635;0.1080111882336748;0;0;0;6.397106918238993;8.23578470071456;True;False;False;False;False;True;False;False;True;-0.5985787857436323;0.0;0.0;0.0;-0.5082831598147717;-0.2631578947368421;0.4173354735152488;-0.5;0.0;-0.4629436591292085;-0.456074427243431;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;191.0;3617.0;True;Both;99.79452128867597;96.089415683433;97.94196848605449
10194012;1019401210;Son Bunyola Resort and Villas;0.0830233732859946;-1;1.803012743124932;-1;2026-09-13;3m;2026-12-19;2026-12-26;1019401210;Son Bunyola Resort and Villas;20300.0001;663.0;Hotel;Islas Baleares;Mallorca;5.0;1.0;9.9184254298262;6.498282149476434;30.618401357466063;0.0;0;0;0;28.159245526425305;10.888717893703586;True;False;False;False;False;False;False;False;True;0.4339495811093434;-0.2069451604179898;-0.5;0.0;0.7814810355605726;1.0526315789473684;-0.3972008673368815;0.5;2.0785697337815905;0.6883351241203974;0.2183016109981704;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;187.0;951.0;True;Both;99.79884715628278;98.97260644337979;99.38572679983128
10257438;1025743801;Villa Boutique Experience;0.1068757465293284;-1;1.5279250625552196;-1;2026-09-13;3m;2026-12-19;2026-12-26;1025743801;Villa Boutique Experience;64086.4;650.0;Villa;Canary Islands;Tenerife;8.0;6.0;11.068003055724052;6.478509642208569;98.59446153846154;0.0;0;0;0;25.33059288537549;50.93984484293527;True;False;False;True;False;False;False;False;True;-0.5467820486887452;-0.3357570722806423;-1.0;-1.0;-0.2282104109602004;0.7631578947368421;-1.537551744529864;-1.5;3.6276587841173913;-0.1571275350289121;-0.910038792670268;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;True;True;62.0;2720.0;True;Both;99.93403051899597;97.05949149426282;98.49676100662938
1038917;103891707;Hotel Santa Inés;0.1434985213341446;-1;2.427183623160635;-1;2026-09-13;3m;2026-12-19;2026-12-26;103891707;Hotel Santa Inés;9537.5001;32.0;Hotel;Castilla y León;Soria;19.0;20.0;9.1630915298594;3.49650756146648;298.046878125;0.0;0;0;0;13.229990428630876;10.48076934065934;True;False;False;True;True;False;False;False;True;-0.7252588299027797;-0.5916904165288928;-0.5;0.0;-0.1633454905876102;0.2631578947368421;-0.0170839082725539;0.5;0.847468735852776;-0.551901522148824;-0.5776844149063411;0.0;0.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;10.0;201.0;True;Both;99.99026679788466;99.7837066196589;99.88698670877179
10469141;1046914101;CORRALA LA ALMOHADA;0.0111999081863206;-1;1.6849535942934055;-1;2026-09-13;3m;2026-12-19;2026-12-26;1046914101;CORRALA LA ALMOHADA;5236.0;120.0;Casa o chalet;Andalucía;Granada;12.0;3.0;8.563504094279487;4.795790545596741;43.63333333333333;0.0;0;0;0;4.116352201257862;5.975327239321214;True;False;False;False;False;False;False;False;True;-0.1181430752297679;-0.0193367937700423;-0.5;0.0;-0.1255642464191519;1.5263157894736843;-0.5459422861011836;0.5;0.8474889020857991;-0.0365135750552801;-0.061798183761464;-1.0;0.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;2912.0;1407.0;True;Both;96.85184984913536;98.4794575362021;97.66565369266874
10499103;1049910302;Belvilla by OYO Vibrant Villa with Swimming Pool;0.0116642833120564;-1;1.4915574996432286;-1;2026-09-13;3m;2026-12-19;2026-12-26;1049910302;Belvilla by OYO Vibrant Villa with Swimming Pool;6738.26;320.0;Villa;Canary Islands;Gran Canaria;4.0;0.0;8.815705405593873;5.771441123130016;21.0570625;0.408449659110809;0;0;0;2.663343873517787;5.682754786616912;True;False;False;False;False;False;False;False;True;-0.7990472845714017;-0.533672251985676;-0.5;0.0;-0.2748072233311883;0.3684210526315789;-0.0817846672622268;0.5;1.2005807091247669;-0.5999293045769676;-0.4897868507238292;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;2854.0;3224.0;True;Both;96.91457492943428;96.51443217580325;96.71450355261877
1053068;105306801;Alda Barraña Playa;0.0001711200305516;-1;1.663633492632734;-1;2026-09-13;3m;2026-12-19;2026-12-26;105306801;Alda Barraña Playa;285.9501;52.0;Hotel;Galicia;La Coruña;0.0;0.0;5.65930833304708;3.970291913552122;5.499040384615385;0.0;0;1;0;0.3966570952975448;0.3696833872010343;False;True;False;False;False;False;False;False;True;1.3305171308430377;1.3490348128665368;1.5;1.0;-0.0222804876513834;-0.1052631578947368;0.2630022720906346;-0.7;0.0;2.3502846285231294;2.337787127588947;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;4607.0;1523.0;True;Both;95.01876345074459;98.35400737560427;96.68638541317443
10578169;1057816901;La Siesta Hostel;0.0036328196367824;-1;1.433135317554387;-1;2026-09-13;3m;2026-12-19;2026-12-26;1057816901;La Siesta Hostel;374.92;30.0;Hotel;Comunidad Valenciana;Valencia;0.0;0.0;5.92937635479456;3.4339872044851463;12.497333333333334;0.0;0;1;0;0.5200721320571509;0.4091471875141356;False;False;False;False;False;False;False;False;False;-0.0357875426255073;-0.2069451604179898;-0.5;0.0;0.1468619370807103;1.0526315789473684;-0.3972008673368815;0.5;1.1497501065812992;0.0534062631532656;-0.0233010878989046;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;3967.0;4294.0;True;Both;95.71090226783609;95.3572625909784;95.53408242940725
