extraction_date;lookahead_period;checkin_date;checkout_date;total_listings;median_price;p25_price;p75_price;median_price_per_sqm;if_anomaly_rate;lof_anomaly_rate;consensus_anomaly_rate;business_rule_rate
2026-02-25;1m;2026-03-28;2026-04-04;61444;1062.82;764.06;1611.325;15.763084825174824;0.05001301998567802;0.05001301998567802;0.0028481218670659463;0.07665516567931775
2026-02-25;3m;2026-05-30;2026-06-06;103961;970.0;700.0;1455.3;14.291666666666666;0.04999951905041314;0.050066851992574136;0.0026163657525418186;0.08240590221333
2026-03-04;1m;2026-04-04;2026-04-11;68166;949.9001;693.64;1421.0525;14.63;0.05005427925945486;0.05002493911920899;0.0026259425520053985;0.07849954522782619
2026-03-04;3m;2026-06-06;2026-06-13;109015;988.71;714.0;1485.0101;14.4811320754717;0.05000229326239508;0.05002981241113608;0.002641838279135899;0.08206210154565885
2026-03-11;1m;2026-04-11;2026-04-18;94044;863.0;630.0;1296.0001;12.731360869565217;0.04999787333588533;0.05001913997703203;0.0027752966696439965;0.0824933010080388
2026-03-11;3m;2026-06-13;2026-06-20;107452;1004.06;720.0001;1496.94;14.807692307692308;0.050003722592413355;0.050003722592413355;0.0021404906376800803;0.07873282954249339
2026-03-18;1m;2026-04-18;2026-04-25;89663;866.7;630.81505;1304.8;12.677045454545452;0.04999832706913666;0.05002063281398124;0.002252880229303057;0.08427110402284109
2026-03-18;3m;2026-06-20;2026-06-27;97760;1050.0001;735.0;1580.8650750000002;15.555555555555555;0.05;0.050030687397708676;0.0022708674304418985;0.07192103109656302
2026-03-25;1m;2026-04-25;2026-05-02;75440;886.28;653.4;1316.0;13.205560238847909;0.05;0.05;0.002717391304347826;0.07851272534464475
2026-03-25;3m;2026-06-27;2026-07-04;91243;1113.0;770.0;1684.4250000000002;16.706666666666667;0.04999835603827143;0.04999835603827143;0.002871453152570608;0.07010948785112282
2026-04-01;1m;2026-05-02;2026-05-09;80686;901.6;658.5;1342.1975;13.333333333333334;0.04999628188285452;0.04999628188285452;0.002714225516198597;0.08182336464814217
2026-04-01;3m;2026-07-04;2026-07-11;92849;1183.32;802.0001;1794.5457;18.000001428571426;0.050005923596376914;0.05001669377160766;0.002401749076457474;0.0690260530538832
2026-04-08;1m;2026-05-09;2026-05-16;88424;875.0001;643.02;1295.525;12.920877358490566;0.04999773817063241;0.04999773817063241;0.002827286709490636;0.08159549443589975
2026-04-08;3m;2026-07-11;2026-07-18;86199;1190.0;802.48005;1809.95;18.61363958333333;0.05000058005313287;0.05000058005313287;0.002645042285873386;0.06432789243494703
2026-04-15;1m;2026-05-16;2026-05-23;85293;863.1;631.8;1270.0;12.792972972972972;0.04999237921048621;0.05005100066828462;0.0027669328080850717;0.08168313929630802
2026-04-15;3m;2026-07-18;2026-07-25;78471;1190.0;793.63505;1830.0;19.366666666666667;0.05000573460259204;0.050018478163907684;0.0025359687018134086;0.06285124440876247
2026-04-22;1m;2026-05-23;2026-05-30;83529;849.02;629.0;1245.36;12.834705882352942;0.049994612649498976;0.050042500209508074;0.0025859282404913264;0.07996025332519245
2026-04-22;3m;2026-07-25;2026-08-01;76171;1165.37;771.785;1810.3400000000001;19.4138;0.05000590776017119;0.05001903611610718;0.002284333932861588;0.0613619356447992
2026-04-29;1m;2026-05-30;2026-06-06;79922;906.23505;663.0;1330.0;13.575545454545454;0.04999874878006056;0.04999874878006056;0.002302244688571357;0.08130427166487325
2026-04-29;3m;2026-08-01;2026-08-08;63968;1197.05;767.55;1928.5;20.85643434343434;0.04999374687343672;0.05002501250625312;0.0025637818909454726;0.05670022511255628
2026-05-06;1m;2026-06-06;2026-06-13;84265;931.0;676.7;1374.5457;13.8;0.050008900492493916;0.050008900492493916;0.002504005221622263;0.07981961668545659
2026-05-06;3m;2026-08-08;2026-08-15;54636;1251.8800500000002;776.0;2054.915;22.137171428571428;0.05000366059008712;0.05000366059008712;0.002635624862727872;0.05560436342338385
2026-05-13;1m;2026-06-13;2026-06-20;82790;945.0;684.0;1382.0600749999999;14.0;0.04999396062326368;0.05000603937673632;0.0025365382292547407;0.0780045899263196
2026-05-13;3m;2026-08-15;2026-08-22;65025;1259.0001;787.6101;2013.2001;21.41555555555556;0.04999615532487505;0.04999615532487505;0.0034602076124567475;0.05653210303729335
