id;name;property_type;province;sqm;price;price_per_sqm;if_score;lof_score
1619186;Hostal Abitum Madrid;Hostal o pensión;Comunidad de Madrid;31.0;593.75;19.15322580645161;0.0080145253002313;163.93122102460657
14024949;Casa Roxanne;Apartamento;Almería;65.0;725.0;11.153846153846152;-0.0818791951112217;18.88785156735232
15463368;Lemon Hostel Altea habitaciones privadas y compartidas;Albergue;Alicante;72.0;487.34;6.768611111111111;0.0189906299758911;7.803331240122625
14184272;ESPECTACULAR PISO EN PALACIO Preferiblemente familias y mayores de treinta años;Apartamento;Cádiz;120.0;350000.0;2916.6666666666665;0.0658563921834521;7.045075607403879
9099444;GuestReady - Blanca Paloma;Hostal o pensión;Cádiz;60.0;648.64;10.810666666666666;-0.0769350207633917;6.514557444649373
12779843;Casalar;Hostal o pensión;Granada;60.0;684.0;11.4;-0.0777402610954073;6.443253283601993
16835101;Bloom House;Casa o chalet;Castellón;72.0;350000.0;4861.111111111111;0.0854887465033924;5.9757338850246535
14414644;Villa Ariel;Casa o chalet;Gerona;859.0;2618.02;3.047753201396973;0.0276029246555417;5.958744321412427
16666796;Casa Mil Flores;Villa;Málaga;18.0;137214.0;7623.0;0.1639821991203657;5.380311885889309
14461693;Casa Rural Abuela Carolina;Chalet de montaña;Zamora;98.0;245000.0;2500.0;0.0905814782894326;4.720171576381737
272511;Albergue Inturjoven Jaen;Albergue;Jaén;40.0;371.0;9.275;-0.062075947960196;4.478942775397588
5700550;MAS DEL VENT- Barbacoa, jardín, piscina privada y vistas a mar;Casa o chalet;Tarragona;12.0;70120.02;5843.335;0.1537788082914218;4.448197989169406
13634978;FC Los Cubos Auto Check In;Apartahotel;León;39.0;534.0001;13.692310256410256;-0.0221055698838529;4.236875605635163
15348646;Modern & Cozy flat in Center Granada;Apartamento;Granada;650.0;691.0001;1.0630770769230768;-0.052270130240826;4.116100569206628
14831276;Precioso piso en calle Yeseros, en Albayzín;Apartamento;Granada;60.0;214445.0;3574.083333333333;0.0377826546804656;4.040274649831034
9560195;Trendy Homes Puerta Purchena;Apartahotel;Almería;55.0;679.28;12.350545454545454;-0.0665629095038835;3.980850742145669
15176066;Loft paradisse;Apartamento;Melilla;60.0;701.02;11.683666666666666;-0.1265346999206636;3.973930031454223
4587914;APARTAMENTOS ALBANTA;Apartahotel;Almería;60.0;525.0;8.75;-0.0606634034742686;3.972234395418648
6600274;Bnbook Medea Apartments;Apartahotel;Málaga;45.0;556.0001;12.355557777777776;-0.0638383739817477;3.941724233339529
15137084;Aventura el Bombón, Cabaña Wellness con Sauna y Ritual de Hielo en Cabo de Gata;Chalet de montaña;Almería;40.0;926.35;23.15875;-0.0707267700505051;3.901174739486807
