-1396873;Cataluña;Lérida;Seu d'Urgell, La;Sant Pere
-2626451;Comunidad Foral de Navarra;Comunidad Foral de Navarra;Pamplona / Iruña;Vihtra
-368902;Castilla y León;Segovia;Abades;Abades
-368907;Extremadura;Cáceres;Abadía;Abadía
-368908;País Vasco;Vizcaya;Abadiño;Abadiano Celayeta
-368909;Galicia;Lugo;Abadín;Abadín
-368910;Comunidad Foral de Navarra;Comunidad Foral de Navarra;Abáigar;Abáigar
-368916;Principado de Asturias;Principado de Asturias;Cangas de Onís;Aballe
-368917;Galicia;Pontevedra;Catoira;Ábalo
-368918;La Rioja;La Rioja;Ábalos;Ábalos
-368919;Principado de Asturias;Principado de Asturias;Cangas de Onís;Abamia
-368920;Castilla-La Mancha;Guadalajara;Abánades;Abánades
-368923;Principado de Asturias;Principado de Asturias;Peñamellera Baja;Abándames
-368926;Región de Murcia;Región de Murcia;Abanilla;Abanilla
-368929;Cantabria;Cantabria;Val de San Vicente;Abanillas
-368930;Cantabria;Cantabria;San Vicente de la Barquera;Abaño
-368938;Principado de Asturias;Principado de Asturias;Caso;Abantro
-368939;Región de Murcia;Región de Murcia;Abarán;Abarán
-368943;Comunidad Foral de Navarra;Comunidad Foral de Navarra;Abárzuza / Abartzuza;Abárzuza
-368947;Comunidad Foral de Navarra;Comunidad Foral de Navarra;Abaurregaina / Abaurrea Alta;Abaurrea Alta
-368948;Comunidad Foral de Navarra;Comunidad Foral de Navarra;Abaurrepea / Abaurrea Baja;Abaurrea Baja
-368950;Aragón;Huesca;Jaca;Abay
-368953;Comunidad Valenciana;Alicante;Confrides;Abdet
-368955;Galicia;La Coruña;Toques;Abeancos
-368956;País Vasco;Álava;Vitoria-Gasteiz;Abechuco
-368963;Galicia;La Coruña;Abegondo;Abegondo
-368965;Galicia;La Coruña;Lousame;Abeijón
-368967;Castilla y León;Soria;Abejar;Abejar
-368972;Castilla-La Mancha;Albacete;Letur;Abejuela
-368977;Galicia;Orense;Teixeira, A;Abeleda
-368980;Galicia;La Coruña;Dumbría;Abeleiras
-368985;Cataluña;Gerona;Vilallonga de Ter;Abella
-368988;Cataluña;Lérida;Abella de la Conca;Abella de la Conca
-368990;Galicia;La Coruña;Muros;Abelleira
-368992;Galicia;Lugo;Barreiros;Abelleira
-368996;Aragón;Teruel;Castellote;Abenfigo
-369004;Comunidad Foral de Navarra;Comunidad Foral de Navarra;Aberin;Aberin
-369005;Extremadura;Cáceres;Abertura;Abertura
-369009;Cantabria;Cantabria;Hermandad de Campoo de Suso;Abiada
-369012;Aragón;Huesca;Abiego;Abiego
-369020;Cantabria;Cantabria;Villacarriedo;Abionzo
-369021;Aragón;Huesca;Abizanda;Abizanda
-369031;Castilla-La Mancha;Guadalajara;Ablanque;Ablanque
-369034;Comunidad Foral de Navarra;Comunidad Foral de Navarra;Ablitas;Ablitas
-369050;Cataluña;Barcelona;Abrera;Abrera
-369051;Principado de Asturias;Principado de Asturias;Vegadeo;Abres
-369057;Andalucía;Almería;Abrucena;Abrucena
-369063;Andalucía;Sevilla;Alcalá del Río;Alcalá del Río
-369064;Islas Canarias;La Gomera;Valle Gran Rey;Acardece
-369067;Principado de Asturias;Principado de Asturias;Siero;Acebal
-369068;Principado de Asturias;Principado de Asturias;Llanes;San Roque del Acebal
-369069;Principado de Asturias;Principado de Asturias;Llanes;Acebal
-369073;Castilla y León;León;Acebedo;Acebedo
-369080;Extremadura;Cáceres;Acebo;Acebo
-369086;Andalucía;Málaga;Cómpeta;Acebuchal
-369100;Extremadura;Cáceres;Acehúche;Acehuche
-369109;Principado de Asturias;Principado de Asturias;Salas;Acellana
-369111;Andalucía;Granada;Lecrín;Acequias
-369120;Extremadura;Badajoz;Aceuchal;Aceuchal
-369124;Galicia;Pontevedra;Cañiza, A;Achas
-369136;Islas Canarias;Tenerife;Guía de Isora;Acojeja
-369140;Galicia;Lugo;Saviñao, O;Acova
-369147;Aragón;Huesca;Sabiñánigo;Acumuer
-369149;Islas Canarias;Gran Canaria;Artenara;Acusa
-369151;Aragón;Huesca;Adahuesca;Adahuesca
-369157;Andalucía;Córdoba;Adamuz;Adamuz
-369159;Castilla y León;Ávila;Adanero;Adanero
-369166;Islas Canarias;Tenerife;Adeje;Adeje
-369167;Galicia;Lugo;Alfoz;Adelán
-369168;Islas Canarias;Tenerife;Tacoronte;Adelantado
-369171;Comunidad Valenciana;Valencia;Ademuz;Ademuz
-369175;Cantabria;Cantabria;Guriezo;Adino
-369176;Comunidad Foral de Navarra;Comunidad Foral de Navarra;Adiós;Adiós
-369180;Comunidad Valenciana;Valencia;Ador;Ador
-369182;Andalucía;Almería;Adra;Adra
-369185;Castilla y León;Segovia;Adrada de Pirón;Adrada de Pirón
-369188;Castilla y León;Segovia;Adrados;Adrados
-369191;Principado de Asturias;Principado de Asturias;Cangas del Narcea;Adralés
-369192;Cataluña;Lérida;Ribera d'Urgellet;Adrall
-369194;Cataluña;Gerona;Canet d'Adri;Adri
-369195;Comunidad Valenciana;Alicante;Atzúbia, l';Adsubia
