index;x;y;inc;mixed;status;alojamientos;attempts;elapsed_seconds;error
0;-18.04263932;27.61024358;0.1;False;ok;74;1;5.416;
1;-18.14263932;27.71024358;0.1;False;ok;15;1;3.370;
2;-18.04263932;27.71024358;0.05;False;ok;75;1;5.908;
3;-17.99263932;27.71024358;0.05;False;ok;48;1;5.840;
4;-18.04263932;27.76024358;0.05;False;ok;33;1;3.894;
5;-17.99263932;27.76024358;0.05;False;ok;35;1;6.070;
6;-17.94263932;27.71024358;0.1;False;ok;39;1;3.866;
7;-15.69263932;27.71024358;0.05;False;ok;66;1;4.411;
8;-15.71763932;27.76024358;0.025;False;ok;74;1;6.035;
9;-15.74263932;27.78524358;0.0125;False;ok;1;1;4.867;
10;-15.73013932;27.78524358;0.0125;False;ok;34;1;5.429;
11;-15.74263932;27.79774358;0.0125;False;ok;73;1;4.957;
12;-15.73013932;27.79774358;0.0125;False;ok;41;1;6.118;
13;-15.71763932;27.78524358;0.00625;False;ok;75;1;5.464;
14;-15.71138932;27.78524358;0.00625;False;ok;75;1;6.496;
15;-15.71763932;27.79149358;0.00625;False;ok;43;1;4.331;
16;-15.71138932;27.79149358;0.00625;False;ok;73;1;5.946;
17;-15.70513932;27.78524358;0.0125;False;ok;55;1;5.906;
18;-15.71763932;27.79774358;0.0125;False;ok;47;1;5.363;
19;-15.70513932;27.79774358;0.0125;False;ok;3;1;5.023;
20;-15.69263932;27.76024358;0.025;False;ok;75;1;3.851;
21;-15.66763932;27.76024358;0.025;False;ok;73;1;5.643;
22;-15.66763932;27.78524358;0.025;False;ok;67;1;5.192;
23;-15.64263932;27.73524358;0.025;False;ok;56;1;6.061;
24;-15.61763932;27.73524358;0.0125;False;ok;56;1;7.300;
25;-15.60513932;27.73524358;0.0125;False;ok;42;1;4.546;
26;-15.61763932;27.74774358;0.0125;False;ok;52;1;4.089;
27;-15.60513932;27.74774358;0.00625;False;ok;43;1;6.073;
28;-15.59888932;27.74774358;0.00625;False;ok;39;1;10.286;
29;-15.60513932;27.75399358;0.00625;False;ok;74;1;8.951;
30;-15.59888932;27.75399358;0.00625;False;ok;60;1;4.008;
31;-15.58013932;27.73524358;0.0125;False;ok;6;1;3.899;
32;-15.59263932;27.74774358;0.00625;False;ok;23;1;9.119;
33;-15.58638932;27.74774358;0.00625;False;ok;23;1;9.067;
34;-15.59263932;27.75399358;0.00625;False;ok;73;1;9.004;
35;-15.58638932;27.75399358;0.00625;False;ok;46;1;9.044;
36;-15.58013932;27.74774358;0.00625;False;ok;75;1;9.552;
37;-15.57388932;27.74774358;0.00625;False;ok;46;1;12.493;
38;-15.58013932;27.75399358;0.003125;False;ok;74;1;7.353;
39;-15.57701432;27.75399358;0.003125;False;ok;14;1;7.966;
40;-15.58013932;27.75711858;0.003125;False;ok;49;1;7.659;
41;-15.57701432;27.75711858;0.003125;False;ok;42;1;5.721;
42;-15.57388932;27.75399358;0.003125;False;ok;24;1;5.627;
43;-15.57076432;27.75399358;0.003125;False;ok;19;1;7.122;
44;-15.57388932;27.75711858;0.003125;False;ok;75;1;7.636;
45;-15.57076432;27.75711858;0.003125;False;ok;75;1;6.185;
46;-15.56763932;27.73524358;0.025;False;ok;26;1;5.169;
47;-15.64263932;27.76024358;0.05;False;ok;73;1;6.726;
48;-15.59263932;27.76024358;0.0125;False;ok;74;1;5.791;
49;-15.58013932;27.76024358;0.00625;False;ok;75;1;4.385;
50;-15.57388932;27.76024358;0.00625;False;ok;52;1;3.735;
51;-15.58013932;27.76649358;0.00625;False;ok;12;1;4.573;
52;-15.57388932;27.76649358;0.00625;False;ok;6;1;3.461;
53;-15.59263932;27.77274358;0.0125;False;ok;0;1;5.300;
54;-15.56763932;27.76024358;0.00625;False;ok;75;1;5.021;
55;-15.56138932;27.76024358;0.00625;False;ok;18;1;3.402;
56;-15.56138932;27.76649358;0.00625;False;ok;3;1;5.651;
57;-15.55513932;27.76024358;0.00625;False;ok;16;1;5.640;
58;-15.55513932;27.76649358;0.00625;False;ok;73;1;6.825;
59;-15.54888932;27.76649358;0.00625;False;ok;73;1;7.191;
60;-15.55513932;27.77274358;0.0125;False;ok;9;1;7.040;
61;-15.54263932;27.76024358;0.0125;False;ok;75;1;6.843;
62;-15.54263932;27.77274358;0.0125;False;ok;24;1;3.754;
63;-15.53013932;27.77274358;0.0125;False;ok;74;1;8.644;
64;-15.51763932;27.76024358;0.025;False;ok;7;1;6.474;
65;-15.49263932;27.76024358;0.05;False;ok;21;1;4.622;
66;-18.04263932;27.81024358;0.1;False;ok;31;1;6.112;
67;-17.94263932;27.81024358;0.1;False;ok;71;1;6.108;
68;-15.76763932;27.81024358;0.00625;False;ok;1;1;6.116;
69;-15.76763932;27.81649358;0.003125;False;ok;70;1;5.212;
70;-15.76451432;27.81649358;0.003125;False;ok;75;1;5.146;
